gene,compare,medianP,meanlogFC,cvFC,DEGtype,Gene_Name,entrezgene_id,description,biotype
ENSG00000226312,D5/D6,0.000238,-1.009,18.81,down-regulate,CFLAR-AS1,65072,CFLAR antisense RNA 1,lncRNA
ENSG00000228196,D5/D6,0.00519,-1.009,31.04,down-regulate,PTPN2P1,,PTPN2 pseudogene 1,Pseudogene
ENSG00000134627,D5/D6,0.00604,-1.008,25.47,down-regulate,PIWIL4,143689,piwi like RNA-mediated gene silencing 4,Protein coding
ENSG00000164649,D5/D6,6.78e-06,1.008,9.04,up-regulate,CDCA7L,55536,cell division cycle associated 7 like,Protein coding
ENSG00000152192,D5/D6,0.00895,-1.007,26.06,non-DEG,POU4F1,5457,POU class 4 homeobox 1,Protein coding
ENSG00000273218,D5/D6,8.64e-05,1.007,13.81,up-regulate,AC005776.2,,novel transcript,lncRNA
ENSG00000233040,D5/D6,0.0071,1.006,31.45,up-regulate,FAM204BP,,"family with sequence similarity 204 member B, pseudogene",Pseudogene
ENSG00000234389,D5/D6,0.0834,1.006,33.34,non-DEG,AC007278.1,,novel transcript,lncRNA
ENSG00000174473,D5/D6,0.0317,-1.005,50.94,down-regulate,GALNTL6,442117,polypeptide N-acetylgalactosaminyltransferase like 6,Protein coding
ENSG00000229922,D5/D6,0.0123,-1.005,27.25,down-regulate,LINC02528,,long intergenic non-protein coding RNA 2865,lncRNA
ENSG00000069869,D5/D6,4.05e-05,1.004,6.29,up-regulate,NEDD4,4734,NEDD4 E3 ubiquitin protein ligase,Protein coding
ENSG00000095587,D5/D6,1e-04,-1.004,9.27,down-regulate,TLL2,7093,tolloid like 2,Protein coding
ENSG00000241351,D5/D6,7.63e-06,-1.004,13.87,down-regulate,IGKV3-11,,immunoglobulin kappa variable 3-11,IG gene
ENSG00000243806,D5/D6,0.00727,1.004,47.7,non-DEG,RPL7P18,,ribosomal protein L7 pseudogene 18,Pseudogene
ENSG00000121594,D5/D6,3.45e-07,-1.003,6.38,down-regulate,CD80,941,CD80 molecule,Protein coding
ENSG00000154548,D5/D6,0.00563,1.003,36.97,up-regulate,SRSF12,135295,serine and arginine rich splicing factor 12,Protein coding
ENSG00000188290,D5/D6,0.000759,1.002,20.46,up-regulate,HES4,57801,hes family bHLH transcription factor 4,Protein coding
ENSG00000227176,D5/D6,0.00584,-1.002,28.26,non-DEG,AC092641.1,,TGF beta-inducible nuclear protein 1 (TINP1) pseudogene,Pseudogene
ENSG00000242052,D5/D6,0.0454,-1.002,32.91,down-regulate,RPL10P7,,ribosomal protein L10 pseudogene 7,Pseudogene
ENSG00000170390,D5/D6,0.00638,1.001,43.49,up-regulate,DCLK2,166614,doublecortin like kinase 2,Protein coding
ENSG00000185499,D5/D6,0.0132,-1.001,26.81,down-regulate,MUC1,4582,"mucin 1, cell surface associated",Protein coding
ENSG00000147443,D5/D6,0.000232,-1,8.74,down-regulate,DOK2,9046,docking protein 2,Protein coding
ENSG00000165879,D5/D6,0.000151,1,13.47,up-regulate,FRAT1,10023,FRAT regulator of WNT signaling pathway 1,Protein coding
ENSG00000229647,D5/D6,0.0624,-1,50.85,non-DEG,MYOSLID,105373853,"myocardin-induced smooth muscle lncRNA, inducer of differentiation",lncRNA
ENSG00000069011,D5/D6,0.00222,0.999,20.43,up-regulate,PITX1,5307,paired like homeodomain 1,Protein coding
ENSG00000151651,D5/D6,4.81e-07,-0.999,4.64,down-regulate,ADAM8,101,ADAM metallopeptidase domain 8,Protein coding
ENSG00000249175,D5/D6,0.000456,0.999,13.96,up-regulate,AC008534.1,,novel transcript,lncRNA
ENSG00000102804,D5/D6,0.000219,0.998,10.85,up-regulate,TSC22D1,8848,TSC22 domain family member 1,Protein coding
ENSG00000170160,D5/D6,0.201,0.998,54.38,up-regulate,CCDC144A,9720,coiled-coil domain containing 144A,Protein coding
ENSG00000187701,D5/D6,0.0545,-0.998,35.19,down-regulate,OR2T27,403239,olfactory receptor family 2 subfamily T member 27,Protein coding
ENSG00000284709,D5/D6,0.0408,-0.998,28.56,down-regulate,KF456110.1,,StAR related lipid transfer domain containing 5 (STARD5) pseudogene,Pseudogene
ENSG00000007237,D5/D6,2.52e-06,-0.997,9.13,down-regulate,GAS7,8522,growth arrest specific 7,Protein coding
ENSG00000124788,D5/D6,8.08e-07,-0.997,20.8,down-regulate,ATXN1,6310,ataxin 1,Protein coding
ENSG00000186193,D5/D6,3.57e-05,0.997,13.32,up-regulate,SAPCD2,89958,suppressor APC domain containing 2,Protein coding
ENSG00000253632,D5/D6,0.0236,-0.997,61.51,down-regulate,AC084026.2,,novel transcript,lncRNA
ENSG00000095303,D5/D6,0.0236,-0.996,45.03,down-regulate,PTGS1,5742,prostaglandin-endoperoxide synthase 1,Protein coding
ENSG00000167081,D5/D6,0.000172,-0.996,10.73,down-regulate,PBX3,5090,PBX homeobox 3,Protein coding
ENSG00000257542,D5/D6,0.0867,-0.996,51.36,down-regulate,OR7E47P,26628,olfactory receptor family 7 subfamily E member 47 pseudogene,Pseudogene
ENSG00000052795,D5/D6,1.07e-07,-0.995,3.77,non-DEG,FNIP2,57600,folliculin interacting protein 2,Protein coding
ENSG00000228485,D5/D6,0.0596,-0.994,26.98,down-regulate,GRK5-IT1,,GRK5 intronic transcript 1,lncRNA
ENSG00000105641,D5/D6,0.0695,0.993,62.66,non-DEG,SLC5A5,6528,solute carrier family 5 member 5,Protein coding
ENSG00000116191,D5/D6,2.28e-06,-0.993,16.2,down-regulate,RALGPS2,55103,Ral GEF with PH domain and SH3 binding motif 2,Protein coding
ENSG00000133063,D5/D6,0.00117,-0.992,15.51,down-regulate,CHIT1,1118,chitinase 1,Protein coding
ENSG00000229124,D5/D6,0.0155,0.992,72.99,non-DEG,VIM-AS1,100507347,VIM antisense RNA 1,lncRNA
ENSG00000253426,D5/D6,0.0426,-0.992,31.25,non-DEG,AC022784.3,,,
ENSG00000259577,D5/D6,0.0148,0.992,19.47,up-regulate,CERNA1,,competing endogenous lncRNA 1 for miR-4707-5p and miR-4767,lncRNA
ENSG00000272908,D5/D6,0.0538,-0.992,29.5,non-DEG,AC006033.2,,novel transcript,lncRNA
ENSG00000139112,D5/D6,0.0449,-0.991,31.3,non-DEG,GABARAPL1,23710,GABA type A receptor associated protein like 1,Protein coding
ENSG00000143344,D5/D6,1.64e-06,-0.991,6.12,non-DEG,RGL1,23179,ral guanine nucleotide dissociation stimulator like 1,Protein coding
ENSG00000180613,D5/D6,0.0402,0.991,36.58,up-regulate,GSX2,170825,GS homeobox 2,Protein coding
ENSG00000233716,D5/D6,0.00361,0.99,46.63,up-regulate,AC074367.1,,"family with sequence similarity 54, member A (FAM54A) pseudogene",Pseudogene
ENSG00000154655,D5/D6,2.58e-06,0.989,3.47,non-DEG,L3MBTL4,91133,L3MBTL histone methyl-lysine binding protein 4,Protein coding
ENSG00000182963,D5/D6,0.00277,-0.989,25.06,down-regulate,GJC1,10052,gap junction protein gamma 1,Protein coding
ENSG00000270689,D5/D6,0.0296,-0.989,58.89,non-DEG,BUD13P1,,BUD13 homolog pseudogene 1,Pseudogene
ENSG00000271699,D5/D6,0.00783,-0.989,27.46,down-regulate,SNX29P2,,sorting nexin 29 pseudogene 2,Pseudogene
ENSG00000119457,D5/D6,0.0479,0.988,32.63,non-DEG,SLC46A2,57864,solute carrier family 46 member 2,Protein coding
ENSG00000170396,D5/D6,0.000668,0.988,13.16,up-regulate,ZNF804A,91752,zinc finger protein 804A,Protein coding
ENSG00000175567,D5/D6,2.89e-05,-0.987,11.2,down-regulate,UCP2,7351,uncoupling protein 2,Protein coding
ENSG00000188511,D5/D6,0.000197,-0.987,13.06,down-regulate,C22orf34,348645,chromosome 22 open reading frame 34,lncRNA
ENSG00000244039,D5/D6,0.069,-0.987,34.11,down-regulate,AC008040.3,,"family with sequence similarity 20, member B (FAM20B) pseudogene",Pseudogene
ENSG00000006747,D5/D6,0.043,-0.986,69.07,down-regulate,SCIN,85477,scinderin,Protein coding
ENSG00000102554,D5/D6,0.000102,-0.986,19.17,down-regulate,KLF5,688,Kruppel like factor 5,Protein coding
ENSG00000126458,D5/D6,0.000956,-0.986,24.84,down-regulate,RRAS,6237,RAS related,Protein coding
ENSG00000172794,D5/D6,0.00546,-0.986,27.9,down-regulate,RAB37,326624,"RAB37, member RAS oncogene family",Protein coding
ENSG00000244265,D5/D6,0.0016,0.986,16.21,up-regulate,SIAH2-AS1,,SIAH2 antisense RNA 1,lncRNA
ENSG00000261606,D5/D6,0.0782,-0.986,23.2,non-DEG,AC091230.1,,novel transcript,lncRNA
ENSG00000285269,D5/D6,0.0233,-0.986,40.38,down-regulate,AL160269.1,11046,solute carrier family 35 member D2,Protein coding
ENSG00000089041,D5/D6,0.00189,-0.985,38.89,down-regulate,P2RX7,5027,purinergic receptor P2X 7,Protein coding
ENSG00000003402,D5/D6,2.26e-08,-0.984,5.39,non-DEG,CFLAR,8837,CASP8 and FADD like apoptosis regulator,Protein coding
ENSG00000135835,D5/D6,0.00032,-0.984,25.84,down-regulate,KIAA1614,57710,KIAA1614,Protein coding
ENSG00000182118,D5/D6,0.0022,0.984,16.78,up-regulate,FAM89A,375061,family with sequence similarity 89 member A,Protein coding
ENSG00000164124,D5/D6,0.00619,0.983,21.61,up-regulate,TMEM144,55314,transmembrane protein 144,Protein coding
ENSG00000198648,D5/D6,0.0281,0.983,32.02,non-DEG,STK39,27347,serine/threonine kinase 39,Protein coding
ENSG00000173546,D5/D6,0.00652,-0.982,20.97,non-DEG,CSPG4,1464,chondroitin sulfate proteoglycan 4,Protein coding
ENSG00000185933,D5/D6,0.0482,0.982,42.74,non-DEG,CALHM1,255022,calcium homeostasis modulator 1,Protein coding
ENSG00000006459,D5/D6,1.5e-05,0.981,35.91,non-DEG,KDM7A,80853,lysine demethylase 7A,Protein coding
ENSG00000123213,D5/D6,0.000282,0.981,17.24,up-regulate,NLN,57486,neurolysin,Protein coding
ENSG00000223503,D5/D6,0.028,0.981,84.58,up-regulate,AL353807.1,,claudin 6 (CLDN6) pseudogene,Pseudogene
ENSG00000261008,D5/D6,0.00815,-0.981,22.09,non-DEG,LINC01572,101927957,long intergenic non-protein coding RNA 1572,lncRNA
ENSG00000166813,D5/D6,0.000181,0.979,13.03,up-regulate,KIF7,374654,kinesin family member 7,Protein coding
ENSG00000234465,D5/D6,0.00175,-0.979,17.96,non-DEG,PINLYP,390940,phospholipase A2 inhibitor and LY6/PLAUR domain containing,Protein coding
ENSG00000105974,D5/D6,0.000151,-0.978,14.71,down-regulate,CAV1,857,caveolin 1,Protein coding
ENSG00000267719,D5/D6,0.0267,-0.978,36.05,down-regulate,LINC02078,100652929,long intergenic non-protein coding RNA 2078,lncRNA
ENSG00000120756,D5/D6,0.00175,0.977,23.41,up-regulate,PLS1,5357,plastin 1,Protein coding
ENSG00000196422,D5/D6,2.8e-06,0.977,3.88,non-DEG,PPP1R26,9858,protein phosphatase 1 regulatory subunit 26,Protein coding
ENSG00000116885,D5/D6,0.00046,0.976,58.07,up-regulate,OSCP1,127700,organic solute carrier partner 1,Protein coding
ENSG00000132563,D5/D6,0.0977,0.976,60.46,up-regulate,REEP2,51308,receptor accessory protein 2,Protein coding
ENSG00000256557,D5/D6,0.039,0.976,36.08,non-DEG,AC009509.3,,high-mobility group nucleosome binding domain 1 (HMGN1) pseudogene,Pseudogene
ENSG00000234678,D5/D6,0.0155,-0.975,26.18,down-regulate,ELF3-AS1,,ELF3 antisense RNA 1,lncRNA
ENSG00000235621,D5/D6,5.05e-06,0.975,15.72,non-DEG,LINC00494,284749,long intergenic non-protein coding RNA 494,lncRNA
ENSG00000169896,D5/D6,0.000658,-0.974,14.63,down-regulate,ITGAM,3684,integrin subunit alpha M,Protein coding
ENSG00000182568,D5/D6,0.00123,0.974,11.2,up-regulate,SATB1,6304,SATB homeobox 1,Protein coding
ENSG00000268686,D5/D6,0.0733,0.974,50.78,non-DEG,AC010643.1,101928295,"novel transcript, antisense to DKKL1",lncRNA
ENSG00000137310,D5/D6,0.000108,-0.973,18.04,down-regulate,TCF19,6941,transcription factor 19,Protein coding
ENSG00000232885,D5/D6,0.0405,0.973,25.09,non-DEG,GPC5-AS2,,GPC5 antisense RNA 2,lncRNA
ENSG00000126500,D5/D6,0.00104,0.972,22.95,up-regulate,FLRT1,23769,fibronectin leucine rich transmembrane protein 1,Protein coding
ENSG00000142224,D5/D6,0.00162,-0.972,16.98,down-regulate,IL19,29949,interleukin 19,Protein coding
ENSG00000154678,D5/D6,0.000192,0.972,14.84,non-DEG,PDE1C,5137,phosphodiesterase 1C,Protein coding
ENSG00000042980,D5/D6,0.0182,-0.971,21.2,down-regulate,ADAM28,10863,ADAM metallopeptidase domain 28,Protein coding
ENSG00000165801,D5/D6,0.00853,-0.971,21.75,down-regulate,ARHGEF40,55701,Rho guanine nucleotide exchange factor 40,Protein coding
ENSG00000214900,D5/D6,5.45e-05,-0.971,10.41,down-regulate,LINC01588,283551,long intergenic non-protein coding RNA 1588,lncRNA
ENSG00000232803,D5/D6,0.0155,0.971,23.41,up-regulate,SLCO4A1-AS1,100127888,SLCO4A1 antisense RNA 1,lncRNA
ENSG00000237693,D5/D6,0.00761,-0.971,30.1,down-regulate,IRGM,345611,immunity related GTPase M,Protein coding
ENSG00000089472,D5/D6,0.0684,-0.97,33.65,down-regulate,HEPH,9843,hephaestin,Protein coding
ENSG00000171840,D5/D6,0.00371,-0.97,21,non-DEG,NINJ2,4815,ninjurin 2,Protein coding
ENSG00000196154,D5/D6,0.000533,-0.97,8.02,down-regulate,S100A4,6275,S100 calcium binding protein A4,Protein coding
ENSG00000272505,D5/D6,0.000171,-0.97,13.53,down-regulate,AC104964.4,,novel transcript,lncRNA
ENSG00000154229,D5/D6,0.0183,0.969,40.07,up-regulate,PRKCA,5578,protein kinase C alpha,Protein coding
ENSG00000160013,D5/D6,7.96e-05,-0.969,14.27,down-regulate,PTGIR,5739,prostaglandin I2 receptor,Protein coding
ENSG00000224287,D5/D6,0.00162,-0.969,92.02,non-DEG,MSL3P1,151507,MSL complex subunit 3 pseudogene 1,Pseudogene
ENSG00000280254,D5/D6,0.0507,0.969,51.99,up-regulate,AC233723.2,,TEC,TEC
ENSG00000224565,D5/D6,0.00113,0.968,14.84,up-regulate,LINC01754,,long intergenic non-protein coding RNA 1754,lncRNA
ENSG00000235217,D5/D6,0.0173,0.968,88.61,non-DEG,TSPY26P,,"testis specific protein Y-linked 26, pseudogene",Pseudogene
ENSG00000095397,D5/D6,0.00189,0.967,29.94,up-regulate,WHRN,25861,whirlin,Protein coding
ENSG00000168062,D5/D6,0.0241,-0.967,21.27,down-regulate,BATF2,116071,basic leucine zipper ATF-like transcription factor 2,Protein coding
ENSG00000280334,D5/D6,0.00954,-0.967,16.45,down-regulate,AC009084.2,,TEC,TEC
ENSG00000284644,D5/D6,0.0204,0.967,60.36,non-DEG,AC074386.1,,"novel transcript, antisense to OR2A1 and ARHGEF5",lncRNA
ENSG00000073331,D5/D6,1.21e-07,-0.966,4.81,non-DEG,ALPK1,80216,alpha kinase 1,Protein coding
ENSG00000182272,D5/D6,0.0451,-0.966,33.04,non-DEG,B4GALNT4,338707,"beta-1,4-N-acetyl-galactosaminyltransferase 4",Protein coding
ENSG00000260448,D5/D6,0.00228,0.965,32.28,up-regulate,LCMT1-AS1,,LCMT1 antisense RNA 1,lncRNA
ENSG00000112782,D5/D6,0.0403,-0.964,39.67,non-DEG,CLIC5,53405,chloride intracellular channel 5,Protein coding
ENSG00000114455,D5/D6,0.00573,-0.964,47,down-regulate,HHLA2,11148,HERV-H LTR-associating 2,Protein coding
ENSG00000139832,D5/D6,0.000976,-0.964,19.19,down-regulate,RAB20,55647,"RAB20, member RAS oncogene family",Protein coding
ENSG00000176884,D5/D6,0.0178,-0.964,39.41,down-regulate,GRIN1,2902,glutamate ionotropic receptor NMDA type subunit 1,Protein coding
ENSG00000180340,D5/D6,0.0241,-0.964,34.11,down-regulate,FZD2,2535,frizzled class receptor 2,Protein coding
ENSG00000128833,D5/D6,8.85e-05,0.963,12.33,non-DEG,MYO5C,55930,myosin VC,Protein coding
ENSG00000149527,D5/D6,0.003,-0.963,21.4,down-regulate,PLCH2,9651,phospholipase C eta 2,Protein coding
ENSG00000237438,D5/D6,4.06e-05,0.963,9.77,up-regulate,CECR7,,"cat eye syndrome chromosome region, candidate 7",Pseudogene
ENSG00000140682,D5/D6,0.00292,-0.962,11.99,down-regulate,TGFB1I1,7041,transforming growth factor beta 1 induced transcript 1,Protein coding
ENSG00000178381,D5/D6,1.96e-05,-0.961,9.87,non-DEG,ZFAND2A,90637,zinc finger AN1-type containing 2A,Protein coding
ENSG00000223584,D5/D6,0.0198,-0.961,21.75,non-DEG,TVP23CP1,,TVP23C pseudogene 1,Pseudogene
ENSG00000267583,D5/D6,0.052,-0.961,65.54,non-DEG,AC007998.3,,novel transcript,lncRNA
ENSG00000279463,D5/D6,0.0133,0.961,57.05,non-DEG,AL159972.1,,"novel transcript, sense intronic to KLF12",lncRNA
ENSG00000013016,D5/D6,0.000308,-0.96,13.97,down-regulate,EHD3,30845,EH domain containing 3,Protein coding
ENSG00000169330,D5/D6,0.000124,-0.96,21.97,down-regulate,KIAA1024,23251,membrane integral NOTCH2 associated receptor 1,Protein coding
ENSG00000213484,D5/D6,0.0252,-0.96,71.32,down-regulate,EIF4A1P8,,eukaryotic translation initiation factor 4A1 pseudogene 8,Pseudogene
ENSG00000138823,D5/D6,0.0286,-0.959,29.01,non-DEG,MTTP,4547,microsomal triglyceride transfer protein,Protein coding
ENSG00000198435,D5/D6,0.00117,0.959,21.37,non-DEG,NRARP,441478,NOTCH regulated ankyrin repeat protein,Protein coding
ENSG00000241832,D5/D6,0.0345,-0.959,75.69,down-regulate,CECR3,27442,"cat eye syndrome chromosome region, candidate 3",lncRNA
ENSG00000090447,D5/D6,1.64e-05,0.958,6.46,up-regulate,TFAP4,7023,transcription factor AP-4,Protein coding
ENSG00000147650,D5/D6,0.00248,-0.958,11.99,non-DEG,LRP12,29967,LDL receptor related protein 12,Protein coding
ENSG00000157483,D5/D6,1.48e-08,0.958,2.08,non-DEG,MYO1E,4643,myosin IE,Protein coding
ENSG00000168016,D5/D6,2.38e-06,-0.958,8.31,down-regulate,TRANK1,9881,tetratricopeptide repeat and ankyrin repeat containing 1,Protein coding
ENSG00000227790,D5/D6,0.051,-0.958,29.43,non-DEG,AC015922.1,,SPECC1 pseudogene 1,Pseudogene
ENSG00000279489,D5/D6,0.0399,-0.958,85.78,down-regulate,AL355377.2,,tec,TEC
ENSG00000198915,D5/D6,0.000244,0.957,11.78,up-regulate,RASGEF1A,221002,RasGEF domain family member 1A,Protein coding
ENSG00000211879,D5/D6,0.0251,-0.957,33.68,down-regulate,TRAJ10,,T cell receptor alpha joining 10,TR gene
ENSG00000137747,D5/D6,0.0476,-0.956,32.43,down-regulate,TMPRSS13,84000,transmembrane serine protease 13,Protein coding
ENSG00000199082,D5/D6,0.0228,0.956,27.84,up-regulate,MIR342,442909,microRNA 342,ncRNA
ENSG00000006704,D5/D6,5.81e-06,0.955,8.26,up-regulate,GTF2IRD1,9569,GTF2I repeat domain containing 1,Protein coding
ENSG00000188042,D5/D6,1.86e-05,-0.955,20.11,down-regulate,ARL4C,10123,ADP ribosylation factor like GTPase 4C,Protein coding
ENSG00000196433,D5/D6,0.0114,-0.955,20.94,down-regulate,ASMT,438,acetylserotonin O-methyltransferase,Protein coding
ENSG00000235582,D5/D6,0.0336,0.955,28.59,non-DEG,AL365258.2,,ribosomal protein L24 (RPL24) pseudogene,Pseudogene
ENSG00000250742,D5/D6,0.00116,0.955,23.11,up-regulate,LINC02381,400043,long intergenic non-protein coding RNA 2381,lncRNA
ENSG00000099282,D5/D6,0.0185,0.954,20.72,non-DEG,TSPAN15,23555,tetraspanin 15,Protein coding
ENSG00000122176,D5/D6,0.0434,-0.954,28.75,non-DEG,FMOD,2331,fibromodulin,Protein coding
ENSG00000188672,D5/D6,0.0475,-0.954,38.99,non-DEG,RHCE,6006,Rh blood group CcEe antigens,Protein coding
ENSG00000276547,D5/D6,0.00119,-0.954,20.22,non-DEG,PCDHGB5,56101,"protocadherin gamma subfamily B, 5",Protein coding
ENSG00000184557,D5/D6,3.66e-06,-0.953,6.68,non-DEG,SOCS3,9021,suppressor of cytokine signaling 3,Protein coding
ENSG00000225331,D5/D6,0.00106,-0.953,17.27,non-DEG,LINC01678,,long intergenic non-protein coding RNA 1678,lncRNA
ENSG00000231333,D5/D6,0.055,0.953,37.31,non-DEG,RPL34P6,,ribosomal protein L34 pseudogene 6,Pseudogene
ENSG00000236008,D5/D6,0.00366,-0.952,32.53,down-regulate,LINC01814,101929567,long intergenic non-protein coding RNA 1814,lncRNA
ENSG00000081377,D5/D6,0.0152,0.949,23.31,up-regulate,CDC14B,8555,cell division cycle 14B,Protein coding
ENSG00000173421,D5/D6,0.05,0.949,67.41,non-DEG,CCDC36,339834,coiled-coil domain containing 36,Protein coding
ENSG00000196539,D5/D6,0.000995,-0.949,16.94,down-regulate,OR2T3,343173,olfactory receptor family 2 subfamily T member 3,Protein coding
ENSG00000266913,D5/D6,0.019,-0.949,61.02,down-regulate,LINC01841,105372288,long intergenic non-protein coding RNA 1841,lncRNA
ENSG00000283199,D5/D6,0.0619,0.948,44.31,non-DEG,C13orf46,100507747,chromosome 13 open reading frame 46,Protein coding
ENSG00000143110,D5/D6,0.000183,-0.947,20.06,down-regulate,C1orf162,128346,chromosome 1 open reading frame 162,Protein coding
ENSG00000188315,D5/D6,1.25e-05,0.947,8.22,non-DEG,C3orf62,375341,chromosome 3 open reading frame 62,Protein coding
ENSG00000245694,D5/D6,3.08e-05,0.947,10.05,non-DEG,CRNDE,101927480,colorectal neoplasia differentially expressed,lncRNA
ENSG00000165644,D5/D6,0.000102,0.946,13.04,up-regulate,COMTD1,118881,catechol-O-methyltransferase domain containing 1,Protein coding
ENSG00000259732,D5/D6,0.015,0.946,37.82,non-DEG,AC092757.2,,"novel transcript, sense overlapping to CCNB2",lncRNA
ENSG00000261373,D5/D6,2.61e-05,0.946,9.56,up-regulate,VPS9D1-AS1,100128881,VPS9D1 antisense RNA 1,lncRNA
ENSG00000261504,D5/D6,0.00944,-0.946,24.4,non-DEG,LINC01686,284648,long intergenic non-protein coding RNA 1686,lncRNA
ENSG00000283815,D5/D6,0.0214,0.946,83.05,non-DEG,MIR18A,406953,microRNA 18a,ncRNA
ENSG00000065154,D5/D6,1.04e-05,0.945,6.65,non-DEG,OAT,4942,ornithine aminotransferase,Protein coding
ENSG00000167747,D5/D6,6.92e-06,0.945,8.78,non-DEG,C19orf48,84798,chromosome 19 open reading frame 48,Protein coding
ENSG00000224728,D5/D6,0.000593,0.945,13.13,non-DEG,IMPDH1P8,,inosine monophosphate dehydrogenase 1 pseudogene 8,Pseudogene
ENSG00000109787,D5/D6,2.77e-07,-0.944,3.9,non-DEG,KLF3,51274,Kruppel like factor 3,Protein coding
ENSG00000164125,D5/D6,0.0501,-0.944,47.24,non-DEG,FAM198B,51313,golgi associated kinase 1B,Protein coding
ENSG00000221381,D5/D6,0.0374,0.944,57.24,non-DEG,SNORD88B,,"small nucleolar RNA, C/D box 88B",ncRNA
ENSG00000261342,D5/D6,0.000878,0.944,12.52,up-regulate,AC006538.1,,novel transcript,lncRNA
ENSG00000197380,D5/D6,0.0768,-0.943,39.57,non-DEG,DACT3,147906,dishevelled binding antagonist of beta catenin 3,Protein coding
ENSG00000261346,D5/D6,0.02,-0.943,57.07,non-DEG,AC116348.3,,"novel transcript, antisense to ITGAL",lncRNA
ENSG00000274029,D5/D6,0.00574,-0.943,33.27,down-regulate,AC069209.1,,novel transcript,lncRNA
ENSG00000168785,D5/D6,0.003,-0.941,21.37,down-regulate,TSPAN5,10098,tetraspanin 5,Protein coding
ENSG00000179299,D5/D6,0.000696,-0.941,10.64,down-regulate,NSUN7,79730,NOP2/Sun RNA methyltransferase family member 7,Protein coding
ENSG00000279534,D5/D6,0.00701,-0.941,18.49,non-DEG,AP001340.1,,TEC,TEC
ENSG00000153495,D5/D6,0.0483,-0.94,34.45,non-DEG,TEX29,121793,testis expressed 29,Protein coding
ENSG00000235865,D5/D6,0.0024,-0.94,15.12,non-DEG,GSN-AS1,57000,GSN antisense RNA 1,lncRNA
ENSG00000262700,D5/D6,0.0219,0.94,28.25,up-regulate,AC133552.3,,thyroid hormone receptor interactor 11 (TRIP11) pseudogene,Pseudogene
ENSG00000124942,D5/D6,0.0409,0.939,63,non-DEG,AHNAK,79026,AHNAK nucleoprotein,Protein coding
ENSG00000223704,D5/D6,0.00288,-0.939,19.85,non-DEG,LINC01422,,long intergenic non-protein coding RNA 1422,lncRNA
ENSG00000259343,D5/D6,0.00113,-0.939,27.26,down-regulate,TMC3-AS1,,TMC3 antisense RNA 1,lncRNA
ENSG00000050438,D5/D6,0.000373,-0.938,11.44,non-DEG,SLC4A8,9498,solute carrier family 4 member 8,Protein coding
ENSG00000231507,D5/D6,0.0226,-0.938,26.06,down-regulate,LINC01353,,long intergenic non-protein coding RNA 1353,lncRNA
ENSG00000234902,D5/D6,0.02,-0.938,31.22,down-regulate,AC007879.3,,novel transcript,lncRNA
ENSG00000260244,D5/D6,0.00189,-0.938,18.29,down-regulate,AC104083.1,,"novel transcript, overlapping GUCY1A3",lncRNA
ENSG00000124496,D5/D6,2.21e-06,0.937,19.87,non-DEG,TRERF1,55809,transcriptional regulating factor 1,Protein coding
ENSG00000163625,D5/D6,0.0159,0.937,24.82,up-regulate,WDFY3,23001,WD repeat and FYVE domain containing 3,Protein coding
ENSG00000035720,D5/D6,4.89e-06,-0.936,4.98,non-DEG,STAP1,26228,signal transducing adaptor family member 1,Protein coding
ENSG00000229948,D5/D6,0.0279,-0.936,16.02,non-DEG,B3GALNT1P1,,"beta-1,3-N-acetylgalactosaminyltransferase 1 pseudogene 1",Pseudogene
ENSG00000197919,D5/D6,0.0292,-0.935,25.62,non-DEG,IFNA1,3439,interferon alpha 1,Protein coding
ENSG00000257474,D5/D6,0.0111,0.935,34.31,non-DEG,AC027288.1,,novel transcript,lncRNA
ENSG00000261126,D5/D6,0.00449,0.935,21.96,non-DEG,RBFADN,,RBFA downstream neighbor,lncRNA
ENSG00000272068,D5/D6,0.00216,-0.935,19.06,down-regulate,AL365181.2,,novel transcript,lncRNA
ENSG00000172725,D5/D6,1.07e-06,0.934,8.8,non-DEG,CORO1B,57175,coronin 1B,Protein coding
ENSG00000272563,D5/D6,0.0239,-0.934,35.1,down-regulate,AC016745.2,,novel transcript,lncRNA
ENSG00000140931,D5/D6,0.000884,0.933,36.7,up-regulate,CMTM3,123920,CKLF like MARVEL transmembrane domain containing 3,Protein coding
ENSG00000237719,D5/D6,0.00624,-0.933,30.71,non-DEG,Z95152.1,,nudix (nucleoside diphosphate linked moiety X) type 5 motif (NUDT5) pseudogene,Pseudogene
ENSG00000259212,D5/D6,0.00394,-0.933,24.88,down-regulate,AC103739.1,,"novel transcript, antisense to CRTC3",lncRNA
ENSG00000145990,D5/D6,5.15e-08,0.932,3.29,non-DEG,GFOD1,54438,glucose-fructose oxidoreductase domain containing 1,Protein coding
ENSG00000162614,D5/D6,0.000113,0.932,21.9,up-regulate,NEXN,91624,nexilin F-actin binding protein,Protein coding
ENSG00000176381,D5/D6,1.5e-05,0.931,8.78,non-DEG,PRR18,285800,proline rich 18,Protein coding
ENSG00000185433,D5/D6,5.2e-06,-0.931,5.84,non-DEG,LINC00158,54072,long intergenic non-protein coding RNA 158,lncRNA
ENSG00000102466,D5/D6,0.0657,-0.93,29.77,non-DEG,FGF14,2259,fibroblast growth factor 14,Protein coding
